frameNumber,1,2,3,4,5,6
1,25.283600000087272,387.7810000000732,332.390800000333,450.80500000040666,-1,-1
1,331.225800000131,285.44480000004626,356.29540000017073,340.3540000004318,-1,-1
2,25.274400000087457,387.78520000007336,332.390800000333,450.81040000040684,-1,-1
2,331.2350000001313,285.4490000000464,356.29540000017073,340.359200000432,-1,-1
3,25.260400000087735,387.79040000007353,332.391400000333,450.815600000407,-1,-1
3,331.2488000001318,285.45420000004657,356.7404000001707,340.3646000004322,-1,-1
4,25.247600000087992,387.7948000000737,332.53940000033793,450.8206000004072,-1,-1
4,331.2616000001322,285.4642000000467,320.55760000016824,340.36960000043234,-1,-1
5,25.232000000088306,387.80020000007386,336.0768000003373,450.82580000040736,-1,-1
5,331.2772000001327,286.80340000004617,308.60100000016786,340.3746000004325,-1,-1
6,25.220600000088538,387.804600000074,358.566800000333,450.8308000004075,-1,-1
6,331.2888000001331,289.1064000000458,308.5076000001686,340.3798000004327,-1,-1
7,25.210000000088748,387.8100000000742,364.9440000003292,450.8360000004077,-1,-1
7,331.29920000013345,291.4014000000453,308.5344000001695,340.38500000043285,-1,-1
8,25.205400000088844,387.81440000007433,364.9742000003302,450.8416000004079,-1,-1
8,331.3040000001336,292.81180000004497,308.5646000001705,340.39040000043303,-1,-1
9,25.203800000088872,387.8200000000745,365.0050000003312,450.84680000040805,-1,-1
9,331.30540000013366,294.11140000004445,319.5554000001701,340.3958000004332,-1,-1
10,25.19540000008904,387.82420000007465,365.03360000033217,450.85220000040823,-1,-1
10,331.31380000013394,294.653200000044,342.4502000001688,340.4012000004334,-1,-1
11,25.781400000089256,387.82980000007484,365.059400000333,450.8576000004084,-1,-1
11,331.3246000001343,294.8436000000437,349.13220000016804,340.40660000043357,-1,-1
12,33.49660000008946,387.834000000075,365.0822000003338,450.7966000004084,-1,-1
12,331.33520000013465,294.8488000000438,349.1552000001688,340.41140000043373,-1,-1
13,44.64140000008951,387.8398000000752,348.1044000003305,449.18460000040767,-1,-1
13,331.346400000135,296.2872000000433,349.19240000017004,340.4166000004339,-1,-1
14,55.584600000089566,387.8442000000753,331.5516000003253,445.12560000040696,-1,-1
14,328.7508000001339,298.43260000004295,349.22860000017124,340.4222000004341,-1,-1
15,66.83100000008959,387.8498000000755,331.3690000003258,440.3196000004063,-1,-1
15,326.67880000013264,301.4676000000423,349.2670000001725,340.42700000043425,-1,-1
16,77.99740000008947,387.85380000007564,331.3992000003268,434.9984000004056,-1,-1
16,326.5530000001325,303.907200000042,349.2972000001735,340.4322000004344,-1,-1
17,89.26460000008916,387.7952000000756,331.4116000003272,429.5766000004049,-1,-1
17,326.56420000013287,307.0386000000416,349.30960000017393,340.4376000004346,-1,-1
18,101.83960000008881,386.295200000075,331.46700000032905,424.65700000040425,-1,-1
18,326.5768000001333,309.6036000000411,348.60380000017545,340.44260000043477,-1,-1
19,115.11900000008843,382.5216000000744,331.4874000003297,419.53660000040355,-1,-1
19,326.5900000001337,311.7766000000406,339.93380000017487,340.44760000043493,-1,-1
20,128.49860000008806,377.3402000000737,331.54200000033154,414.5166000004029,-1,-1
20,326.60320000013417,313.3626000000402,338.45080000017583,340.4526000004351,-1,-1
21,141.97860000008768,372.01960000007296,331.5796000003328,409.4966000004022,-1,-1
21,326.6166000001346,314.4226000000397,338.4886000001771,340.45760000043526,-1,-1
22,155.3590000000873,366.9996000000723,331.6104000003338,404.6776000004016,-1,-1
22,326.63000000013506,314.9076000000393,338.5194000001781,340.4624000004354,-1,-1
23,168.73860000008693,362.3808000000717,331.6514000003352,399.4566000004009,-1,-1
23,326.6432000001355,314.8074000000389,337.2312000001789,340.4676000004356,-1,-1
24,182.11840000008655,357.46160000007103,331.6880000003364,394.0350000004002,-1,-1
24,326.65660000013594,313.0728000000385,328.5030000001779,340.4730000004358,-1,-1
25,195.39760000008565,352.30380000007045,331.7328000003379,389.01500000039954,-1,-1
25,326.6698000001364,309.034200000038,328.5476000001794,340.47800000043594,-1,-1
26,208.7774000000845,347.6052000000699,331.7726000003392,383.7944000003988,-1,-1
26,326.6830000001368,303.6222000000373,327.6418000001803,340.4832000004361,-1,-1
27,222.15740000008338,342.8338000000693,331.80740000034035,378.2724000003981,-1,-1
27,326.69640000013726,299.14240000003696,300.4722000001794,340.4888000004363,-1,-1
28,235.53660000008225,339.8190000000689,331.84920000034174,372.8506000003974,-1,-1
28,326.7096000001377,297.50120000003676,293.33160000017926,340.4942000004365,-1,-1
29,249.0174000000811,339.8190000000689,331.8666000003423,367.63040000039666,-1,-1
29,326.72300000013814,297.50120000003676,293.34900000017984,340.49940000043665,-1,-1
30,260.77400000007987,339.8190000000689,331.8776000003427,362.00760000039594,-1,-1
30,321.66780000013676,297.50120000003676,293.3600000001802,340.50500000043684,-1,-1
31,269.3936000000784,339.8190000000689,331.8776000003427,356.2846000003952,-1,-1
31,309.9162000001353,297.50120000003676,293.3600000001802,340.510600000437,-1,-1
32,274.55400000007694,339.8190000000689,331.8776000003427,350.6624000003944,-1,-1
32,299.96780000013393,297.50120000003676,293.3600000001802,340.5162000004372,-1,-1
33,276.18580000007546,339.8190000000689,331.8776000003427,345.1404000003937,-1,-1
33,291.1412000001326,297.50120000003676,293.3600000001802,340.5218000004374,-1,-1
34,283.6360000000739,339.8190000000689,331.8776000003427,339.9196000003936,-1,-1
34,284.0124000001313,297.50120000003676,293.3600000001802,340.52700000043757,-1,-1
35,297.01640000007205,339.8190000000689,331.8776000003427,334.8996000003935,-1,-1
35,280.42140000013,297.50120000003676,293.3600000001802,340.53200000043773,-1,-1
36,310.39600000007016,339.8190000000689,331.8776000003427,329.67860000039343,-1,-1
36,279.9586000001296,297.50120000003676,293.3600000001802,340.5372000004379,-1,-1
37,323.7758000000683,339.8190000000689,331.8776000003427,324.3576000003933,-1,-1
37,279.97200000013004,297.50120000003676,293.3600000001802,340.5424000004381,-1,-1
38,337.1558000000664,339.8190000000689,331.8776000003427,319.2370000003932,-1,-1
38,275.43260000012907,297.50120000003676,293.3600000001802,340.54760000043825,-1,-1
39,350.5350000000645,339.8190000000689,331.8776000003427,314.4184000003931,-1,-1
39,268.64960000012775,297.50120000003676,293.3600000001802,340.5524000004384,-1,-1
40,363.9154000000626,339.8190000000689,331.8776000003427,309.498400000393,-1,-1
40,265.9584000001265,297.50120000003676,293.3600000001802,340.55720000043857,-1,-1
41,377.2950000000607,339.8190000000689,331.8776000003427,304.07660000039294,-1,-1
