frameNumber,1,2,3,4,5,6
72,392.7108000000545,357.13559999999694,-1,-1,-1,-1
72,170.38340000004357,152.23099999998257,-1,-1,-1,-1
73,403.72780000005235,352.24079999999634,-1,-1,-1,-1
73,183.5084000000432,152.2259999999824,-1,-1,-1,-1
74,401.29820000005003,346.8195999999956,-1,-1,-1,-1
74,197.62640000004274,152.22059999998223,-1,-1,-1,-1
75,387.1538000000468,341.59819999999496,-1,-1,-1,-1
75,210.95740000004227,152.26039999998207,-1,-1,-1,-1
76,372.99720000004413,336.4877999999943,-1,-1,-1,-1
76,225.14240000004187,153.1681999999821,-1,-1,-1,-1
77,361.35080000004257,331.3675999999936,-1,-1,-1,-1
77,236.81220000004154,153.70879999998212,-1,-1,-1,-1
78,345.1866000000404,325.9457999999929,-1,-1,-1,-1
78,253.00880000004108,153.78179999998207,-1,-1,-1,-1
79,331.3312000000386,320.8255999999922,-1,-1,-1,-1
79,266.8914000000393,153.7765999999819,-1,-1,-1,-1
80,318.51260000003697,315.20359999999147,-1,-1,-1,-1
80,280.69220000003776,154.39899999998184,-1,-1,-1,-1
81,316.07060000003537,309.95359999999096,-1,-1,-1,-1
81,290.90180000003653,157.27179999998188,-1,-1,-1,-1
82,319.9640000000343,305.5165999999905,-1,-1,-1,-1
82,295.6604000000356,161.98299999998193,-1,-1,-1,-1
83,338.6864000000317,301.24379999999,-1,-1,-1,-1
83,298.8834000000341,167.60499999998203,-1,-1,-1,-1
84,349.2494000000302,297.7775999999896,-1,-1,-1,-1
84,298.89380000003445,172.93679999998187,-1,-1,-1,-1
85,369.0634000000274,294.92279999998925,-1,-1,-1,-1
85,299.83000000003454,178.16799999998173,-1,-1,-1,-1
86,378.62140000002586,292.56959999998884,-1,-1,-1,-1
86,308.27680000003346,183.49979999998158,-1,-1,-1,-1
87,383.76060000002485,290.3705999999885,-1,-1,-1,-1
87,315.62080000003243,189.03279999998142,-1,-1,-1,-1
88,385.74640000002216,286.353199999988,-1,-1,-1,-1
88,333.06000000003024,194.36479999998127,-1,-1,-1,-1
89,375.71660000001964,280.8381999999876,-1,-1,-1,-1
89,349.69180000002785,199.89779999998112,-1,-1,-1,-1
90,372.92460000001745,275.8181999999875,-1,-1,-1,-1
90,364.3794000000258,204.92579999998097,-1,-1,-1,-1
91,381.4296000000154,270.39679999998737,-1,-1,-1,-1
91,377.8158000000239,210.35799999998082,-1,-1,-1,-1
92,388.26960000001327,265.1757999999873,-1,-1,-1,-1
92,383.816400000022,215.5243999999807,-1,-1,-1,-1
93,387.79580000001107,259.55359999998717,-1,-1,-1,-1
93,380.80180000002,220.55879999998052,-1,-1,-1,-1
94,377.3018000000089,254.23219999998707,-1,-1,-1,-1
94,380.6950000000199,224.74579999998036,-1,-1,-1,-1
95,365.8818000000069,249.01159999998697,-1,-1,-1,-1
95,372.01000000001795,228.3627999999802,-1,-1,-1,-1
96,366.37500000000495,243.89159999998688,-1,-1,-1,-1
96,361.44220000001616,232.46399999998002,-1,-1,-1,-1
97,367.06180000000404,238.56979999998677,-1,-1,-1,-1
97,367.81020000001433,236.30539999997978,-1,-1,-1,-1
98,370.9078000000029,233.2487999999867,-1,-1,-1,-1
98,380.26100000001236,241.2279999999796,-1,-1,-1,-1
99,381.91360000000094,228.23479999998645,-1,-1,-1,-1
99,386.2052000000105,246.45939999997944,-1,-1,-1,-1
100,388.74459999999897,223.51579999998617,-1,-1,-1,-1
100,380.7378000000089,251.99239999997928,-1,-1,-1,-1
101,386.4235999999969,220.20679999998598,-1,-1,-1,-1
101,371.4664000000069,257.323999999979,-1,-1,-1,-1
102,380.9485999999948,219.7589999999859,-1,-1,-1,-1
102,366.838200000005,262.4903999999785,-1,-1,-1,-1
103,379.64079999999325,219.76419999998606,-1,-1,-1,-1
103,359.27640000000304,267.2709999999782,-1,-1,-1,-1
104,379.65539999999373,220.15039999998604,-1,-1,-1,-1
104,350.2098000000012,271.41539999997786,-1,-1,-1,-1
105,379.6699999999942,222.65599999998585,-1,-1,-1,-1
105,351.3157999999994,275.14679999997753,-1,-1,-1,-1
