frameNumber,1,2,3,4,5,6
1,100,150,-1,-1,-1,-1
1,100,150,-1,-1,-1,-1
2,100,150,-1,-1,-1,-1
2,100,150,-1,-1,-1,-1
3,100,150,-1,-1,-1,-1
3,100,150,-1,-1,-1,-1
4,100,150,-1,-1,-1,-1
4,100,150,-1,-1,-1,-1
5,100,150,-1,-1,-1,-1
5,100,150,-1,-1,-1,-1
6,100,150,-1,-1,-1,-1
6,100,150,-1,-1,-1,-1
7,100,150,-1,-1,-1,-1
7,100,150,-1,-1,-1,-1
8,100,150,-1,-1,-1,-1
8,100,150,-1,-1,-1,-1
9,100,150,-1,-1,-1,-1
9,100,150,-1,-1,-1,-1
10,100,150,-1,-1,-1,-1
10,100,150,-1,-1,-1,-1
11,100,150,-1,-1,-1,-1
11,103.78000000000014,150,-1,-1,-1,-1
12,100,150,-1,-1,-1,-1
12,116.83000000000064,150,-1,-1,-1,-1
13,100,150,-1,-1,-1,-1
13,128.7100000000011,150,-1,-1,-1,-1
14,100,150,-1,-1,-1,-1
14,138.43000000000146,150,-1,-1,-1,-1
15,100,150,-1,-1,-1,-1
15,150.1300000000019,150,-1,-1,-1,-1
16,100,150,-1,-1,-1,-1
16,162.10000000000235,150,-1,-1,-1,-1
17,100,150,-1,-1,-1,-1
17,173.8900000000028,150,-1,-1,-1,-1
18,91.17999999999967,150,-1,-1,-1,-1
18,184.2400000000032,150,-1,-1,-1,-1
19,79.38999999999922,150,-1,-1,-1,-1
19,196.03000000000364,150,-1,-1,-1,-1
20,84.69999999999942,150,-1,-1,-1,-1
20,207.37000000000407,150,-1,-1,-1,-1
21,95.58999999999983,150,-1,-1,-1,-1
21,218.26000000000448,150,-1,-1,-1,-1
22,107.7400000000003,150,-1,-1,-1,-1
22,230.41000000000494,150,-1,-1,-1,-1
23,119.44000000000074,150,-1,-1,-1,-1
23,242.11000000000539,150,-1,-1,-1,-1
24,131.6800000000012,150,-1,-1,-1,-1
24,254.35000000000585,150,-1,-1,-1,-1
25,142.0300000000016,150,-1,-1,-1,-1
25,264.7000000000035,150,-1,-1,-1,-1
26,153.73000000000204,150,-1,-1,-1,-1
26,259.0300000000051,150,-1,-1,-1,-1
27,154.81000000000208,150,-1,-1,-1,-1
27,247.4200000000056,150,-1,-1,-1,-1
28,142.93000000000163,150,-1,-1,-1,-1
28,258.6700000000052,150,-1,-1,-1,-1
29,138.43000000000146,150,-1,-1,-1,-1
29,269.0200000000023,150,-1,-1,-1,-1
30,149.7700000000019,150,-1,-1,-1,-1
30,280.35999999999916,150,-1,-1,-1,-1
31,161.29000000000232,150,-1,-1,-1,-1
31,291.87999999999596,150,-1,-1,-1,-1
32,172.90000000000276,150,-1,-1,-1,-1
32,289.71999999999656,150,-1,-1,-1,-1
33,173.35000000000278,150,-1,-1,-1,-1
33,279.27999999999946,150,-1,-1,-1,-1
34,161.83000000000234,150,-1,-1,-1,-1
34,267.76000000000266,150,-1,-1,-1,-1
35,169.66000000000264,150,-1,-1,-1,-1
35,256.4200000000058,150,-1,-1,-1,-1
36,180.28000000000304,150,-1,-1,-1,-1
36,245.80000000000553,150,-1,-1,-1,-1
37,189.6400000000034,150,-1,-1,-1,-1
37,236.44000000000517,150,-1,-1,-1,-1
38,200.4400000000038,150,-1,-1,-1,-1
38,225.64000000000476,150,-1,-1,-1,-1
39,209.71000000000416,150,-1,-1,-1,-1
39,216.3700000000044,150,-1,-1,-1,-1
40,213.94000000000432,150,-1,-1,-1,-1
40,212.14000000000425,150,-1,-1,-1,-1
41,213.94000000000432,150,-1,-1,-1,-1
41,212.14000000000425,150,-1,-1,-1,-1
42,213.94000000000432,150,-1,-1,-1,-1
42,212.14000000000425,150,-1,-1,-1,-1
43,213.94000000000432,150,-1,-1,-1,-1
43,212.14000000000425,150,-1,-1,-1,-1
44,213.94000000000432,150,-1,-1,-1,-1
44,212.14000000000425,150,-1,-1,-1,-1
45,213.94000000000432,150,-1,-1,-1,-1
45,212.14000000000425,150.36,-1,-1,-1,-1
46,213.94000000000432,149.64,-1,-1,-1,-1
46,212.14000000000425,160.5300000000004,-1,-1,-1,-1
47,213.94000000000432,139.91999999999962,-1,-1,-1,-1
47,212.14000000000425,170.25000000000077,-1,-1,-1,-1
48,213.94000000000432,132.89999999999935,-1,-1,-1,-1
48,212.14000000000425,180.06000000000114,-1,-1,-1,-1
49,213.94000000000432,126.47999999999911,-1,-1,-1,-1
49,212.14000000000425,189.6900000000015,-1,-1,-1,-1
50,213.94000000000432,127.46999999999915,-1,-1,-1,-1
50,212.14000000000425,190.59000000000154,-1,-1,-1,-1
51,213.94000000000432,122.87999999999897,-1,-1,-1,-1
51,212.14000000000425,181.05000000000118,-1,-1,-1,-1
52,213.94000000000432,111.98999999999856,-1,-1,-1,-1
52,212.14000000000425,170.16000000000076,-1,-1,-1,-1
53,213.94000000000432,120.26999999999887,-1,-1,-1,-1
53,212.14000000000425,160.5300000000004,-1,-1,-1,-1
54,213.94000000000432,130.61999999999927,-1,-1,-1,-1
54,212.14000000000425,157.29000000000028,-1,-1,-1,-1
55,213.94000000000432,141.41999999999967,-1,-1,-1,-1
55,212.14000000000425,168.09000000000069,-1,-1,-1,-1
56,213.94000000000432,152.4000000000001,-1,-1,-1,-1
56,212.14000000000425,179.0700000000011,-1,-1,-1,-1
57,213.94000000000432,163.3800000000005,-1,-1,-1,-1
57,212.14000000000425,190.05000000000152,-1,-1,-1,-1
58,213.94000000000432,173.5500000000009,-1,-1,-1,-1
58,212.14000000000425,200.2200000000019,-1,-1,-1,-1
59,213.94000000000432,184.1700000000013,-1,-1,-1,-1
59,212.14000000000425,197.4300000000018,-1,-1,-1,-1
60,213.94000000000432,195.51000000000172,-1,-1,-1,-1
60,212.14000000000425,198.42000000000183,-1,-1,-1,-1
61,213.94000000000432,207.03000000000216,-1,-1,-1,-1
61,212.14000000000425,209.94000000000227,-1,-1,-1,-1
62,213.94000000000432,218.3700000000026,-1,-1,-1,-1
62,212.14000000000425,221.2800000000027,-1,-1,-1,-1
63,213.94000000000432,211.62000000000234,-1,-1,-1,-1
63,212.14000000000425,232.62000000000313,-1,-1,-1,-1
64,213.94000000000432,201.99000000000197,-1,-1,-1,-1
64,212.14000000000425,242.2500000000035,-1,-1,-1,-1
65,213.94000000000432,191.46000000000157,-1,-1,-1,-1
65,212.14000000000425,252.7800000000039,-1,-1,-1,-1
66,213.94000000000432,180.48000000000116,-1,-1,-1,-1
66,212.14000000000425,263.76000000000187,-1,-1,-1,-1
67,213.94000000000432,168.7800000000007,-1,-1,-1,-1
67,212.14000000000425,275.4599999999986,-1,-1,-1,-1
68,213.94000000000432,166.62000000000063,-1,-1,-1,-1
68,212.14000000000425,286.88999999999544,-1,-1,-1,-1
69,213.94000000000432,177.51000000000104,-1,-1,-1,-1
69,212.14000000000425,297.7799999999924,-1,-1,-1,-1
70,213.94000000000432,188.40000000000146,-1,-1,-1,-1
70,212.14000000000425,308.6699999999894,-1,-1,-1,-1
71,213.94000000000432,178.8600000000011,-1,-1,-1,-1
71,212.14000000000425,319.7399999999863,-1,-1,-1,-1
72,213.94000000000432,167.34000000000066,-1,-1,-1,-1
72,212.14000000000425,331.2599999999831,-1,-1,-1,-1
73,213.94000000000432,157.53000000000029,-1,-1,-1,-1
73,212.14000000000425,341.0699999999804,-1,-1,-1,-1
74,213.94000000000432,145.82999999999984,-1,-1,-1,-1
74,212.14000000000425,352.76999999997713,-1,-1,-1,-1
75,213.94000000000432,134.75999999999942,-1,-1,-1,-1
75,212.14000000000425,353.6699999999769,-1,-1,-1,-1
76,213.94000000000432,123.14999999999898,-1,-1,-1,-1
76,212.14000000000425,342.0599999999801,-1,-1,-1,-1
77,213.94000000000432,111.98999999999856,-1,-1,-1,-1
77,212.14000000000425,336.56999999998163,-1,-1,-1,-1
78,213.94000000000432,101.00999999999814,-1,-1,-1,-1
78,212.14000000000425,347.5499999999786,-1,-1,-1,-1
79,213.94000000000432,89.93999999999772,-1,-1,-1,-1
79,212.14000000000425,341.4299999999803,-1,-1,-1,-1
80,213.94000000000432,93.80999999999787,-1,-1,-1,-1
80,212.14000000000425,330.80999999998323,-1,-1,-1,-1
81,213.94000000000432,99.02999999999807,-1,-1,-1,-1
81,212.14000000000425,321.1799999999859,-1,-1,-1,-1
82,213.94000000000432,92.90999999999784,-1,-1,-1,-1
82,212.14000000000425,309.3899999999892,-1,-1,-1,-1
83,213.94000000000432,103.79999999999825,-1,-1,-1,-1
83,212.14000000000425,299.12999999999204,-1,-1,-1,-1
84,213.94000000000432,110.5499999999985,-1,-1,-1,-1
84,212.14000000000425,310.109999999989,-1,-1,-1,-1
85,213.94000000000432,106.67999999999836,-1,-1,-1,-1
85,212.14000000000425,313.9799999999879,-1,-1,-1,-1
